Model,Optimizer,Accuracy,Epoch_Time_ms,GFLOPs
ResNet-18,SGD,88.99285714285715,630018.7996864319,0.071329792
ResNet-18,Adam,89.77857142857142,763720.1198101044,0.071329792
ResNet-50,SGD,83.62142857142857,1112304.998588562,0.16592384
ResNet-50,Adam,88.12142857142857,1304599.4007110596,0.16592384
