Compute,Model,Optimizer,Test_Accuracy,Train_Time_ms,FLOPs
cuda,ResNet-18,SGD,89.32857142857142,51046.825885772705,71329792
cuda,ResNet-18,Adam,90.79285714285714,60977.22826004028,71329792
cuda,ResNet-50,SGD,84.73571428571428,92309.5350265503,165923840
cuda,ResNet-50,Adam,87.56428571428572,114125.39167404175,165923840
